iter	Logloss
0	0.6616040242
1	0.6347487365
2	0.6128007774
3	0.5912469512
4	0.5725654244
5	0.5552960922
6	0.5408142612
7	0.5289524976
8	0.5166872728
9	0.5045514059
10	0.4930208247
11	0.4833604143
12	0.4731274474
13	0.4638057426
14	0.456699259
15	0.44859534
16	0.4417083858
17	0.4357121074
18	0.4306173959
19	0.425470001
20	0.4209821692
21	0.4170227289
22	0.4121418574
23	0.407485967
24	0.4033219524
25	0.3996910593
26	0.3961738856
27	0.3937964867
28	0.3917213612
29	0.3881528899
30	0.3855193158
31	0.3809302741
32	0.3763244278
33	0.372970411
34	0.3709879427
35	0.3689872534
36	0.3657466854
37	0.3629963765
38	0.3609135546
39	0.360111423
40	0.357502894
41	0.3556016338
42	0.3531106493
43	0.3504307282
44	0.3487297127
45	0.3470159733
46	0.3445497064
47	0.342586978
48	0.3409328913
49	0.3400789833
50	0.3387174908
51	0.3371463007
52	0.335347181
53	0.3328009016
54	0.3309694658
55	0.3280139888
56	0.3258570364
57	0.3243347693
58	0.322373431
59	0.320298434
60	0.3187035849
61	0.3162929988
62	0.3146401468
63	0.3103314029
64	0.3095405452
65	0.3076690521
66	0.3064974641
67	0.3055647758
68	0.3042698081
69	0.3031278296
70	0.2997231497
71	0.2970223988
72	0.2959270989
73	0.2948838623
74	0.2935567777
75	0.2916537776
76	0.2903780748
77	0.2885782524
78	0.2870653676
79	0.2849204539
80	0.2840266201
81	0.2832853991
82	0.2815879964
83	0.2803771711
84	0.2783319863
85	0.2772032084
86	0.2760748954
87	0.2743786678
88	0.2727450545
89	0.2716293274
90	0.2706773987
91	0.268436837
92	0.267571968
93	0.2662733937
94	0.2649957691
95	0.2634181617
96	0.26137046
97	0.2604622037
98	0.2597844986
99	0.2591654184
