iter	Passed	Remaining
0	12	1227
1	14	716
2	19	626
3	22	540
4	24	456
5	25	403
6	31	415
7	35	402
8	37	378
9	41	374
10	44	361
11	46	340
12	51	343
13	60	372
14	62	352
15	63	335
16	65	321
17	70	319
18	74	316
19	77	311
20	79	299
21	81	288
22	85	286
23	88	278
24	92	278
25	97	278
26	100	272
27	102	264
28	108	265
29	111	260
30	113	252
31	115	245
32	117	238
33	125	243
34	130	242
35	134	238
36	136	232
37	138	225
38	141	221
39	146	220
40	148	214
41	156	216
42	159	210
43	161	205
44	165	201
45	169	198
46	171	193
47	173	187
48	175	182
49	181	181
50	188	180
51	189	175
52	193	171
53	196	167
54	198	162
55	205	161
56	207	156
57	208	151
58	213	148
59	221	147
60	223	142
61	227	139
62	233	137
63	236	133
64	239	129
65	245	126
66	246	121
67	248	116
68	250	112
69	251	107
70	252	103
71	258	100
72	267	98
73	271	95
74	275	91
75	279	88
76	283	84
77	285	80
78	287	76
79	289	72
80	295	69
81	296	65
82	301	61
83	303	57
84	306	54
85	309	50
86	311	46
87	317	43
88	320	39
89	321	35
90	327	32
91	330	28
92	332	25
93	333	21
94	335	17
95	337	14
96	339	10
97	348	7
98	349	3
99	351	0
