iter	Logloss
0	0.6881519749
1	0.6842288853
2	0.6804218946
3	0.6767158523
4	0.6730620871
5	0.6686511229
6	0.6645754398
7	0.6611951273
8	0.6573922546
9	0.6543418897
10	0.649894119
11	0.6470521711
12	0.6432377023
13	0.6398757449
14	0.6357710479
15	0.632357232
16	0.628811326
17	0.6260824338
18	0.6229372783
19	0.6201612754
20	0.6165510588
21	0.6136860701
22	0.6099730884
23	0.607308989
24	0.6047476072
25	0.6023514322
26	0.5990887773
27	0.5963951642
28	0.593390994
29	0.5905846517
30	0.5870799886
31	0.5847738244
32	0.5822345746
33	0.5801543005
34	0.5777831574
35	0.5753309312
36	0.5725257659
37	0.5703957045
38	0.5677078923
39	0.5651902274
40	0.5632715531
41	0.5604437016
42	0.5580707961
43	0.5553543086
44	0.5529592577
45	0.5506551406
46	0.5484165712
47	0.5468045978
48	0.5448184044
49	0.5423865286
50	0.5401896177
51	0.5381166133
52	0.5358542325
53	0.533773004
54	0.5318163505
55	0.5298371599
56	0.5287405433
57	0.5269857639
58	0.5250425756
59	0.5233921129
60	0.5215941668
61	0.5194801871
62	0.5180302097
63	0.5165570536
64	0.5145512131
65	0.5128904509
66	0.5112881095
67	0.5097294204
68	0.5087146399
69	0.5075463533
70	0.5058457664
71	0.5040927595
72	0.5032324308
73	0.5022460864
74	0.5004871898
75	0.4988462805
76	0.49792563
77	0.496799076
78	0.4953364238
79	0.4938130467
80	0.4921730048
81	0.4905728257
82	0.4894441712
83	0.4883598413
84	0.4867133954
85	0.4853753341
86	0.4840073744
87	0.4828917099
88	0.4811430721
89	0.479836724
90	0.4783931258
91	0.4774434574
92	0.4759887313
93	0.4751831069
94	0.4737468798
95	0.4726206747
96	0.4718665921
97	0.4705422412
98	0.4694679052
99	0.4682599504
100	0.4668620373
101	0.4655329922
102	0.4642467683
103	0.4631732263
104	0.4617807366
105	0.4606528166
106	0.4590587188
107	0.4580905188
108	0.4571664343
109	0.4561559336
110	0.4552246539
111	0.4538872571
112	0.4526964992
113	0.4513272491
114	0.4504850379
115	0.4497152645
116	0.4485583189
117	0.4475610754
118	0.4469059165
119	0.4457574955
120	0.4448230757
121	0.4438811334
122	0.4429531062
123	0.4417109935
124	0.4406207376
125	0.4401054843
126	0.4393101152
127	0.4385959179
128	0.4372071557
129	0.4364420845
130	0.4356965874
131	0.4347699594
132	0.4337762933
133	0.4329319434
134	0.4322984559
135	0.4315406947
136	0.4309738296
137	0.4299707023
138	0.4291391485
139	0.4283521853
140	0.427637973
141	0.4264693422
142	0.4255745529
143	0.4249188161
144	0.4240228183
145	0.423398559
146	0.4224593353
147	0.4216259027
148	0.4208854661
149	0.4201987688
150	0.4197482461
151	0.419145618
152	0.418354861
153	0.4177214573
154	0.4170922964
155	0.4162813059
156	0.41517626
157	0.4145078102
158	0.4137972327
159	0.413258664
160	0.4128236131
161	0.4120203477
162	0.411202623
163	0.410353104
164	0.4097157466
165	0.4090915067
166	0.4084322919
167	0.4076361921
168	0.4070148853
169	0.4064415043
170	0.4059322901
171	0.4052001484
172	0.4046556993
173	0.403594922
174	0.4030058032
175	0.4024396435
176	0.4015216369
177	0.4008410681
178	0.4000615908
179	0.3994964927
180	0.3988417303
181	0.3984313512
182	0.3979570615
183	0.3975923074
184	0.3972121367
185	0.3967224677
186	0.3962098223
187	0.3957036102
188	0.3948609585
189	0.3944410706
190	0.3938130849
191	0.3930594619
192	0.3924558285
193	0.3918914778
194	0.3916126602
195	0.3908801581
196	0.3902886943
197	0.3897314002
198	0.389202773
199	0.3886717477
200	0.3882309009
201	0.3878192808
202	0.3874065698
203	0.3867904972
204	0.3863621657
205	0.3857627031
206	0.3852959396
207	0.3845817688
208	0.3841447668
209	0.3836460016
210	0.3831537463
211	0.3825842944
212	0.3819901338
213	0.3815803913
214	0.3809093213
215	0.3805866651
216	0.3801261508
217	0.3796034421
218	0.3790641524
219	0.3785963394
220	0.3781216872
221	0.3776507339
222	0.3772489969
223	0.3768915973
224	0.3761922683
225	0.375745108
226	0.3749522851
227	0.3743565279
228	0.3738279035
229	0.3733208569
230	0.3730308678
231	0.3725897014
232	0.3720626076
233	0.3714413218
234	0.370968047
235	0.3705289026
236	0.3700108908
237	0.3692698637
238	0.3689053017
239	0.3682715711
240	0.3678891443
241	0.3669389429
242	0.3665705551
243	0.3662538435
244	0.3658008676
245	0.3654644147
246	0.3651901512
247	0.364769427
248	0.3643749736
249	0.3640567353
250	0.3635933881
251	0.3633218375
252	0.3630943813
253	0.3626684785
254	0.3620267092
255	0.3615245331
256	0.3610343643
257	0.3607598003
258	0.3603081845
259	0.3598892257
260	0.3593445633
261	0.3589319175
262	0.3586795124
263	0.3582406476
264	0.3580123221
265	0.3575513812
266	0.3570785815
267	0.356550215
268	0.3561568387
269	0.3557838224
270	0.3552668659
271	0.3547967248
272	0.3544941553
273	0.3539474678
274	0.3536729295
275	0.3532661152
276	0.3529019133
277	0.3525809709
278	0.3521692785
279	0.3518909002
280	0.3515650892
281	0.3513410211
282	0.350830643
283	0.3504495813
284	0.3500065373
285	0.3492693234
286	0.3489394963
287	0.3486221074
288	0.3483540199
289	0.3480931414
290	0.3477972133
291	0.3475088289
292	0.3472908545
293	0.3469335834
294	0.3465276863
295	0.3461717005
296	0.3459192507
297	0.3455686938
298	0.3453614791
299	0.3449364609
300	0.3446688107
301	0.344223936
302	0.3438804237
303	0.3434246357
304	0.3430438662
305	0.3427274905
306	0.3422616423
307	0.3420616673
308	0.3416930745
309	0.3413618067
310	0.34106899
311	0.3406381117
312	0.340278144
313	0.3401271561
314	0.3398406211
315	0.3395977381
316	0.3389820412
317	0.3386338277
318	0.3381905095
319	0.3378217409
320	0.3373125951
321	0.3369910286
322	0.3366142102
323	0.3361607979
324	0.3358911983
325	0.3356000003
326	0.3353141803
327	0.3346252781
328	0.334308049
329	0.3339930579
330	0.3334644679
331	0.3332279303
332	0.3329428209
333	0.3326903621
334	0.3324420354
335	0.3321985179
336	0.3317630837
337	0.3314755485
338	0.3313103025
339	0.330993786
340	0.3305008053
341	0.3301719863
342	0.3298839191
343	0.3296848476
344	0.3292301143
345	0.3289474957
346	0.3287149468
347	0.3285260736
348	0.3283237823
349	0.3279007299
350	0.3274627861
351	0.3271657751
352	0.3269961856
353	0.3267924699
354	0.3265174474
355	0.3262799235
356	0.3261508931
357	0.3258125611
358	0.3254431463
359	0.3253129421
360	0.3251298176
361	0.3246915641
362	0.3245052574
363	0.3241982166
364	0.3240211592
365	0.3236507276
366	0.3234965586
367	0.3232735864
368	0.3230906586
369	0.3229223592
370	0.3225226086
371	0.3221919468
372	0.3219482701
373	0.3218158611
374	0.3214504253
375	0.3212347262
376	0.3210022613
377	0.3206767357
378	0.3204740589
379	0.3202906319
380	0.319818647
381	0.3196034169
382	0.319129746
383	0.3188033062
384	0.3185397283
385	0.3183451636
386	0.3181870249
387	0.3176749249
388	0.3174074615
389	0.317283682
390	0.3169952747
391	0.3167938281
392	0.3166558864
393	0.3163863203
394	0.3161727844
395	0.3159922254
396	0.3158430069
397	0.315650204
398	0.3153046648
399	0.3149554954
400	0.3146838209
401	0.314260562
402	0.3138344516
403	0.3135953003
404	0.3134675012
405	0.3130182194
406	0.3125533117
407	0.3123310911
408	0.3120311718
409	0.311805683
410	0.3113962993
411	0.3110299516
412	0.3108278873
413	0.3106574325
414	0.3104250284
415	0.3102428267
416	0.3100155389
417	0.3096571161
418	0.3094884622
419	0.3093523389
420	0.3090706869
421	0.3088841574
422	0.3087149597
423	0.3084746954
424	0.3082447242
425	0.3081104996
426	0.307886171
427	0.3075760185
428	0.3071682106
429	0.3069362256
430	0.3064958827
431	0.3062897458
432	0.3060561864
433	0.3057944717
434	0.3053644959
435	0.3050764864
436	0.3046324074
437	0.3044253726
438	0.3042920019
439	0.3040582344
440	0.3038077263
441	0.3035773996
442	0.3032815125
443	0.3031185022
