iter	Passed	Remaining
0	2082	2080082
1	2089	1042753
2	2092	695477
3	2095	521848
4	2099	417729
5	2102	348263
6	2105	298681
7	2108	261497
8	2112	232597
9	2115	209425
10	2118	190471
11	2121	174675
12	2124	161323
13	2136	150458
14	2139	140497
15	2143	131801
16	2146	124124
17	2149	117277
18	2152	111155
19	2156	105662
20	2159	100677
21	2162	96138
22	2166	92037
23	2170	88265
24	2173	84778
25	2177	81556
26	2180	78569
27	2183	75796
28	2186	73221
29	2190	70814
30	2192	68533
31	2194	66392
32	2197	64379
33	2200	62530
34	2208	60880
35	2211	59222
36	2214	57648
37	2218	56164
38	2221	54737
39	2223	53373
40	2226	52068
41	2228	50829
42	2230	49650
43	2232	48516
44	2235	47433
45	2237	46398
46	2239	45409
47	2241	44461
48	2243	43550
49	2247	42693
50	2249	41852
51	2251	41044
52	2253	40266
53	2255	39516
54	2258	38796
55	2264	38172
56	2268	37522
57	2270	36871
58	2272	36242
59	2274	35634
60	2277	35059
61	2279	34489
62	2281	33937
63	2284	33404
64	2286	32889
65	2288	32389
66	2292	31920
67	2295	31461
68	2297	31002
69	2300	30567
70	2303	30137
71	2305	29719
72	2308	29311
73	2310	28911
74	2312	28522
75	2314	28143
76	2316	27773
77	2319	27415
78	2323	27083
79	2327	26766
80	2330	26443
81	2332	26117
82	2335	25801
83	2337	25491
84	2339	25186
85	2341	24889
86	2344	24600
87	2346	24316
88	2348	24038
89	2351	23780
90	2354	23517
91	2356	23258
92	2358	23003
93	2360	22753
94	2362	22509
95	2366	22287
96	2370	22069
97	2373	21841
98	2375	21617
99	2377	21397
100	2380	21186
101	2382	20976
102	2385	20770
103	2387	20569
104	2391	20383
105	2395	20199
106	2398	20015
107	2402	19840
108	2405	19666
109	2408	19483
110	2410	19309
111	2415	19148
112	2417	18975
113	2419	18804
114	2421	18636
115	2423	18472
116	2426	18312
117	2428	18153
118	2430	17997
119	2433	17843
120	2435	17692
121	2437	17542
122	2440	17398
123	2442	17255
124	2445	17119
125	2448	16985
126	2451	16848
127	2458	16746
128	2490	16814
129	2493	16689
130	2497	16564
131	2499	16434
132	2502	16313
133	2505	16192
134	2509	16076
135	2512	15961
136	2515	15842
137	2517	15724
138	2519	15607
139	2522	15492
140	2524	15378
141	2526	15265
142	2528	15154
143	2531	15048
144	2533	14940
145	2535	14833
146	2538	14728
147	2540	14623
148	2542	14520
149	2544	14420
150	2547	14322
151	2549	14224
152	2552	14128
153	2554	14035
154	2557	13940
155	2559	13848
156	2563	13764
157	2566	13676
158	2570	13593
159	2576	13526
160	2580	13445
161	2583	13366
162	2587	13285
163	2589	13201
164	2592	13119
165	2594	13036
166	2597	12955
167	2599	12875
168	2602	12794
169	2604	12717
170	2607	12642
171	2610	12566
172	2612	12489
173	2615	12415
174	2617	12339
175	2620	12268
176	2622	12194
177	2624	12121
178	2626	12048
179	2629	11976
180	2631	11907
181	2637	11853
182	2640	11786
183	2642	11718
184	2644	11650
185	2646	11583
186	2649	11518
187	2652	11457
188	2655	11393
189	2657	11330
190	2660	11267
191	2662	11204
192	2664	11142
193	2667	11080
194	2669	11019
195	2672	10961
196	2674	10901
197	2677	10843
198	2679	10785
199	2682	10731
200	2687	10684
201	2691	10631
202	2693	10574
203	2700	10537
204	2703	10485
205	2705	10429
206	2708	10375
207	2711	10322
208	2713	10269
209	2715	10215
210	2717	10162
211	2719	10109
212	2722	10060
213	2725	10011
214	2728	9960
215	2730	9910
216	2732	9859
217	2734	9809
218	2737	9760
219	2739	9714
220	2743	9669
221	2745	9622
222	2747	9574
223	2750	9527
224	2752	9481
225	2755	9436
226	2757	9390
227	2760	9348
228	2764	9308
229	2767	9265
230	2770	9224
231	2774	9183
232	2777	9143
233	2780	9103
234	2783	9061
235	2786	9020
236	2788	8977
237	2790	8935
238	2793	8893
239	2795	8851
240	2797	8810
241	2801	8773
242	2804	8736
243	2806	8696
244	2809	8656
245	2811	8616
246	2813	8577
247	2816	8539
248	2819	8502
249	2821	8463
250	2825	8432
251	2830	8402
252	2833	8365
253	2835	8327
254	2837	8290
255	2839	8252
256	2841	8216
257	2845	8182
258	2848	8150
259	2851	8114
260	2853	8078
261	2855	8043
262	2858	8009
263	2860	7975
264	2863	7941
265	2866	7909
266	2869	7878
267	2873	7847
268	2876	7816
269	2880	7787
270	2883	7756
271	2886	7725
272	2894	7708
273	2897	7676
274	2899	7645
275	2902	7612
276	2905	7583
277	2907	7551
278	2909	7519
279	2912	7488
280	2914	7458
281	2917	7427
282	2920	7399
283	2922	7368
284	2924	7338
285	2927	7307
286	2929	7277
287	2931	7247
288	2935	7221
289	2938	7194
290	2940	7165
291	2943	7136
292	2945	7107
293	2947	7079
294	2950	7050
295	2953	7024
296	2958	7001
297	2961	6975
298	2963	6948
299	2967	6923
300	2970	6899
301	2974	6874
302	2976	6847
303	2980	6824
304	2984	6799
305	2986	6772
306	2988	6745
307	2990	6719
308	2993	6693
309	2995	6666
310	2997	6641
311	3000	6615
312	3002	6589
313	3004	6563
314	3006	6538
315	3009	6513
316	3011	6487
317	3013	6462
318	3015	6438
319	3019	6416
320	3025	6399
321	3027	6375
322	3030	6351
323	3032	6327
324	3035	6304
325	3039	6283
326	3042	6261
327	3045	6239
328	3047	6216
329	3049	6192
330	3052	6169
331	3054	6146
332	3056	6122
333	3059	6099
334	3061	6076
335	3063	6054
336	3065	6031
337	3068	6009
338	3071	5989
339	3075	5970
340	3078	5950
341	3082	5929
342	3086	5911
343	3089	5892
344	3092	5871
345	3095	5851
346	3099	5832
347	3102	5812
348	3106	5793
349	3108	5773
350	3111	5752
351	3114	5733
352	3117	5713
353	3119	5692
354	3121	5671
355	3123	5650
356	3125	5629
357	3129	5611
358	3132	5592
359	3134	5572
360	3137	5552
361	3139	5532
362	3141	5513
363	3144	5493
364	3146	5473
365	3149	5455
366	3159	5449
367	3163	5432
368	3166	5414
369	3169	5397
370	3173	5380
371	3176	5363
372	3180	5345
373	3183	5328
374	3188	5314
375	3191	5297
376	3194	5279
377	3198	5262
378	3201	5245
379	3204	5228
380	3210	5216
381	3214	5200
382	3229	5203
383	3235	5190
384	3239	5174
385	3242	5158
386	3245	5140
387	3253	5131
388	3256	5115
389	3260	5099
390	3265	5086
391	3268	5069
392	3271	5053
393	3275	5037
394	3278	5021
395	3281	5005
396	3288	4994
397	3291	4978
398	3294	4962
399	3297	4946
400	3301	4931
401	3304	4915
402	3307	4899
403	3310	4884
404	3314	4868
405	3317	4853
406	3320	4838
407	3323	4822
408	3326	4807
409	3330	4792
410	3334	4777
411	3338	4764
412	3340	4748
413	3343	4732
414	3345	4715
415	3347	4699
416	3349	4683
417	3352	4667
418	3356	4654
419	3359	4639
420	3363	4625
421	3366	4611
422	3370	4596
423	3373	4582
424	3375	4566
425	3377	4551
426	3380	4535
427	3382	4520
428	3385	4505
429	3387	4490
430	3389	4475
431	3392	4459
432	3394	4444
433	3400	4434
434	3402	4419
435	3405	4405
436	3408	4390
437	3410	4375
438	3413	4362
439	3416	4348
440	3418	4333
441	3421	4319
442	3423	4304
443	3426	4290
444	3428	4276
445	3431	4262
446	3433	4248
447	3436	4234
448	3439	4220
449	3442	4208
450	3446	4195
451	3449	4182
452	3453	4169
453	3456	4157
454	3460	4144
455	3464	4132
456	3467	4119
457	3469	4105
458	3472	4092
459	3474	4078
460	3476	4065
461	3479	4051
462	3481	4037
463	3483	4023
464	3486	4010
465	3488	3997
466	3490	3984
467	3493	3970
468	3495	3957
469	3497	3943
470	3499	3930
471	3502	3918
472	3505	3906
473	3508	3893
474	3510	3880
475	3512	3866
476	3515	3854
477	3518	3842
478	3521	3830
479	3523	3817
480	3527	3806
481	3532	3795
482	3536	3785
483	3540	3774
484	3542	3761
485	3544	3748
486	3547	3737
487	3550	3725
488	3555	3715
489	3558	3704
490	3561	3692
491	3564	3680
492	3567	3668
493	3569	3656
494	3571	3644
495	3574	3631
496	3576	3619
497	3578	3607
498	3581	3595
499	3583	3583
500	3585	3571
501	3588	3559
502	3592	3549
503	3596	3539
504	3598	3527
505	3601	3515
506	3603	3503
507	3605	3492
508	3608	3481
509	3611	3470
510	3614	3458
511	3616	3446
512	3618	3435
513	3621	3424
514	3623	3412
515	3626	3401
516	3630	3391
517	3634	3381
518	3637	3371
519	3640	3360
520	3645	3351
521	3648	3340
522	3651	3330
523	3654	3320
524	3657	3309
525	3660	3298
526	3663	3288
527	3669	3279
528	3671	3268
